,roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,arithmetic_mean,f1_score,precision,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold
63,0.8087979999999999,18440,8343704,21435522,6689,0.7338140000000001,0.719815,0.72678,0.7268140000000001,0.004397,0.002205,1635.38434,0.084313,catboost,hcpcs_code,8,0.000843
64,0.767716,18551,10445681,19333544,6578,0.7382310000000001,0.649229,0.692301,0.6937300000000001,0.0035369999999999998,0.001773,1368.51663,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
65,0.8005800000000001,18356,8543129,21236097,6773,0.730471,0.713118,0.721742,0.7217939999999999,0.004275,0.002144,1342.373519,0.084313,catboost,none,8,0.000843
66,0.770931,18394,10155431,19623795,6735,0.7319829999999999,0.658976,0.694521,0.695479,0.003607,0.001808,1375.439593,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
67,0.792597,18147,8738113,21041113,6982,0.722154,0.70657,0.7143189999999999,0.7143619999999999,0.0041329999999999995,0.002072,1550.8306910000001,0.084313,catboost,hcpcs_code,8,0.000843
68,0.799307,18390,8600896,21178330,6739,0.731824,0.711178,0.721427,0.7215010000000001,0.004255,0.002134,1435.095291,0.084313,catboost,none,8,0.000843
69,0.763116,18516,10607964,19171262,6613,0.736838,0.64378,0.688739,0.6903090000000001,0.0034770000000000005,0.0017420000000000003,1373.891204,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
70,0.81012,18533,8349049,21430176,6595,0.737544,0.719635,0.728534,0.728589,0.004416,0.002215,1659.933177,0.08431,catboost,hcpcs_code,8,0.000843
71,0.769915,18412,10213034,19566192,6717,0.732699,0.657042,0.69384,0.69487,0.00359,0.0018,1382.559231,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
72,0.808868,18410,8334926,21444299,6719,0.7326199999999999,0.720109,0.726338,0.7263649999999999,0.0043950000000000005,0.002204,1654.072586,0.084313,catboost,hcpcs_code,8,0.000843
73,0.805686,18541,8542902,21236324,6588,0.737833,0.713125,0.725374,0.725479,0.004319,0.002166,1611.8045789999999,0.084313,catboost,hcpcs_code,8,0.000843
74,0.8021,18323,8524567,21254659,6806,0.729158,0.713741,0.7214079999999999,0.721449,0.004277,0.0021449999999999998,1537.849778,0.084313,catboost,hcpcs_code,8,0.000843
75,0.800725,18478,8840469,20938757,6651,0.735326,0.703133,0.7190489999999999,0.719229,0.0041600000000000005,0.0020859999999999997,1571.121022,0.084313,catboost,hcpcs_code,8,0.000843
76,0.761096,18278,10327146,19452079,6850,0.727396,0.6532100000000001,0.6893050000000001,0.690303,0.003525,0.0017670000000000001,1691.273718,0.08431,catboost,nppes_provider_state,8,0.000843
77,0.757961,18106,10329444,19449781,7023,0.720522,0.653133,0.6859999999999999,0.6868270000000001,0.0034909999999999997,0.00175,1631.87734,0.084313,catboost,nppes_provider_state,8,0.000843
78,0.768201,18290,10041748,19737478,6839,0.7278439999999999,0.662794,0.694558,0.6953189999999999,0.0036270000000000004,0.001818,1691.968379,0.084313,catboost,nppes_provider_state,8,0.000843
79,0.7646229999999999,18371,10396670,19382556,6758,0.731068,0.650875,0.689807,0.690971,0.0035189999999999996,0.0017640000000000002,1695.6487260000001,0.084313,catboost,nppes_provider_state,8,0.000843
80,0.759437,17961,10150323,19628903,7168,0.714752,0.659148,0.686387,0.68695,0.0035240000000000002,0.001766,1670.418147,0.084313,catboost,nppes_provider_state,8,0.000843
81,0.760666,18140,10225417,19553808,6988,0.721904,0.656626,0.688492,0.689265,0.0035329999999999997,0.001771,1681.7385420000003,0.08431,catboost,nppes_provider_state,8,0.000843
82,0.765875,18412,10349135,19430090,6717,0.732699,0.652471,0.691423,0.692585,0.003543,0.0017760000000000002,1689.935253,0.084313,catboost,nppes_provider_state,8,0.000843
83,0.7686350000000001,18280,10061827,19717399,6849,0.727446,0.662119,0.6940149999999999,0.694783,0.003618,0.001813,1696.755522,0.084313,catboost,nppes_provider_state,8,0.000843
84,0.770675,18410,10126762,19652464,6719,0.7326199999999999,0.659939,0.69533,0.696279,0.0036200000000000004,0.0018149999999999998,1693.371378,0.084313,catboost,nppes_provider_state,8,0.000843
85,0.765297,18405,10272076,19507150,6724,0.732421,0.6550590000000001,0.692661,0.6937399999999999,0.003568,0.001789,1689.659831,0.084313,catboost,nppes_provider_state,8,0.000843
86,0.753999,18074,10388608,19390617,7054,0.719277,0.651146,0.6843640000000001,0.685212,0.0034649999999999998,0.001737,1686.5093980000001,0.08431,catboost,nppes_provider_state,8,0.000843
87,0.769709,18507,10258143,19521082,6622,0.73648,0.6555270000000001,0.694825,0.6960029999999999,0.003593,0.001801,1699.8643149999998,0.084313,catboost,nppes_provider_state,8,0.000843
88,0.767742,18475,10312355,19466871,6654,0.735206,0.653706,0.69326,0.6944560000000001,0.003568,0.0017879999999999999,1692.355871,0.084313,catboost,nppes_provider_state,8,0.000843
89,0.7627619999999999,18149,10191138,19588088,6980,0.722233,0.6577770000000001,0.6892520000000001,0.690005,0.003547,0.001778,1686.159195,0.084313,catboost,nppes_provider_state,8,0.000843
90,0.766421,18317,10176732,19602494,6812,0.728919,0.658261,0.692689,0.6935899999999999,0.0035840000000000004,0.001797,1692.361341,0.084313,catboost,nppes_provider_state,8,0.000843
91,0.769821,18320,10124616,19654609,6808,0.729067,0.660011,0.69368,0.694539,0.0036030000000000003,0.0018059999999999999,1702.1553920000001,0.08431,catboost,nppes_provider_state,8,0.000843
92,0.7603949999999999,18236,10320254,19458971,6893,0.725695,0.6534409999999999,0.688621,0.6895680000000001,0.0035189999999999996,0.0017640000000000002,1638.780468,0.084313,catboost,nppes_provider_state,8,0.000843
93,0.765546,18201,10047616,19731610,6928,0.7243029999999999,0.662596,0.692763,0.69345,0.003607,0.001808,1700.7379999999998,0.084313,catboost,nppes_provider_state,8,0.000843
94,0.766926,18320,10173572,19605654,6809,0.729038,0.658367,0.692802,0.693702,0.0035859999999999998,0.0017980000000000001,1684.326982,0.084313,catboost,nppes_provider_state,8,0.000843
95,0.768887,18448,10230451,19548775,6681,0.734132,0.656457,0.694209,0.695294,0.0035909999999999996,0.0018,1693.968152,0.084313,catboost,nppes_provider_state,8,0.00043
96,0.7590319999999999,17985,10190128,19589097,7143,0.715735,0.6578109999999999,0.6861619999999999,0.686773,0.003515,0.0017620000000000001,1651.5180710000002,0.08431,catboost,nppes_provider_state,8,0.000843
97,0.766722,18355,10287047,19492178,6774,0.730431,0.654556,0.691454,0.6924939999999999,0.003554,0.0017809999999999998,1669.526431,0.084313,catboost,nppes_provider_state,8,0.000843
98,0.767616,18398,10300917,19478309,6731,0.732142,0.654091,0.692017,0.693116,0.003557,0.0017829999999999999,1665.664924,0.084313,catboost,nppes_provider_state,8,0.000843
99,0.7548590000000001,18152,10405353,19373873,6977,0.722353,0.650583,0.68553,0.6864680000000001,0.003475,0.001741,1686.204929,0.084313,catboost,nppes_provider_state,8,0.000843
100,0.766595,18203,10028350,19750876,6926,0.724382,0.663243,0.6931390000000001,0.693813,0.0036149999999999997,0.001812,1689.721707,0.084313,catboost,nppes_provider_state,8,0.000843
