roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold,l2_reg,l1_reg
0.914559,2454,1170227,2827111,209,0.921517,0.707248,0.807305,750.348418,0.066575,onehot,state_code,8,0.000666,2.0,
0.910259,2442,1188486,2808852,221,0.917011,0.702681,0.802724,751.657088,0.066575,onehot,state_code,8,0.000666,2.0,
0.963319,2461,869622,3127822,94,0.963209,0.782455,0.868141,13117.614058,0.063875,skipgram150,state_code,8,0.000639,,
0.952439,2498,899436,3097928,137,0.948008,0.774993,0.857146,13436.057859,0.065875,skipgram150,state_code,8,0.000659,2.0,
0.887316,2213,1128224,2869231,332,0.869548,0.717764,0.790019,7728.194685,0.063625,skipgram150,state_code,4,0.000636,,
0.885729,2221,1149720,2847735,324,0.872692,0.712387,0.788476,6784.070195,0.063625,skipgram150,state_code,4,0.000636,,
0.955603,2508,893238,3104127,127,0.951803,0.776543,0.859719,12285.714252,0.065875,skipgram150,state_code,8,0.000659,2.0,
0.966503,2473,857040,3140405,82,0.967906,0.785603,0.872003,14597.799251,0.063875,skipgram150,state_code,8,0.000639,,
0.889562,2235,1134216,2863239,310,0.878193,0.716265,0.793107,6796.216479,0.063625,skipgram150,state_code,4,0.000636,,
0.886432,2228,1136344,2861112,317,0.875442,0.715733,0.79157,6988.476424,0.063625,skipgram150,state_code,4,0.000636,,
0.958759,2526,893283,3104082,109,0.958634,0.776532,0.862792,11924.437537,0.065875,skipgram150,state_code,8,0.000659,2.0,
0.967257,2475,840078,3157367,80,0.968689,0.789846,0.874709,14452.607518,0.063875,skipgram150,state_code,8,0.000639,,
0.885523,2194,1108757,2888704,344,0.86446,0.722635,0.790373,7336.406075,0.06345,skipgram150,state_code,4,0.000635,,
0.952242,2496,918265,3079100,139,0.947249,0.770282,0.854195,11982.063741,0.065875,skipgram150,state_code,8,0.000659,2.0,
0.88157,2194,1123549,2873912,344,0.86446,0.718934,0.788346,6849.087742,0.06345,skipgram150,state_code,4,0.000635,,
0.964206,2474,866326,3131119,81,0.968297,0.78328,0.870889,13461.737019,0.063875,skipgram150,state_code,8,0.000639,,
0.882204,2192,1137614,2859848,346,0.863672,0.715416,0.786057,6797.954697,0.06345,skipgram150,state_code,4,0.000634,,
0.95639,2519,894546,3102819,117,0.955615,0.776216,0.861257,11223.939758,0.0659,skipgram150,state_code,8,0.000659,2.0,
0.878894,2247,1110482,2886877,393,0.851136,0.722196,0.78402,10687.328908,0.066,skipgram300,state_code,4,0.00066,,
0.88467,2190,1111540,2885922,349,0.862544,0.721939,0.789116,6832.681623,0.063475,skipgram150,state_code,4,0.000635,,
0.96516,2471,847712,3149733,85,0.966745,0.787937,0.872774,13504.206723,0.0639,skipgram150,state_code,8,0.000639,,
0.881388,2177,1120111,2877351,362,0.857424,0.719794,0.785601,6752.582932,0.063475,skipgram150,state_code,4,0.000635,,
0.880666,2271,1124062,2873297,370,0.859902,0.718799,0.786191,10807.589666,0.066025,skipgram300,state_code,4,0.00066,,
0.959274,2590,889302,3108001,106,0.960682,0.777524,0.864265,11071.793672,0.0674,skipgram150,state_code,8,0.000674,2.0,
0.881995,2278,1114867,2882504,350,0.866819,0.7211,0.790609,6873.843495,0.0657,skipgram150,state_code,4,0.000657,,
0.883683,2263,1098608,2898751,378,0.856872,0.725167,0.788274,10217.207577,0.066025,skipgram300,state_code,4,0.00066,,
0.96468,2450,873258,3124209,82,0.967615,0.781547,0.869619,13489.034027,0.0633,skipgram150,state_code,8,0.000633,,
