embedding_type,max_depth,time,roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,arithmetic_mean,f1_score,precision,threshold
nohcpcs,4,4026.411892333334,0.8959670000000002,5377,1638959,5805795,958,0.848777,0.7798499999999998,0.8135840000000001,0.8143139999999996,0.006515000000000003,0.0032700000000000016,0.0008000000000000003
nohcpcs,8,7790.417605769232,0.9368420000000003,5518,1153085,6291669,817,0.871034,0.845114,0.8579760000000002,0.8580740000000001,0.009472999999999999,0.004763000000000002,0.0011
onehot,4,5120.082137125,0.897691,5233,1457330,5987424,1102,0.826046,0.804247,0.815074,0.8151469999999998,0.007125,0.0035780000000000005,0.0008999999999999999
onehot,8,8797.588435,0.9357030000000001,5464,1119074,6325680,871,0.8625100000000001,0.8496829999999999,0.856072,0.856096,0.009663,0.004859000000000001,0.0011
